,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Mataura,0,NZ,1551823209,94,-46.19,-46.19,64.0,1.01
1,Gat,0,SN,1551821400,49,14.69,14.69,71.6,21.92
2,Buraydah,0,SA,1551819600,41,26.33,26.33,60.8,14.99
3,Atuona,0,PF,1551823419,100,-9.8,-9.8,82.51,19.04
4,Mogadishu,12,SO,1551823422,100,2.04,2.04,80.44,18.03
5,Khatanga,76,RU,1551823424,71,71.98,71.98,-6.32,6.85
6,Kapaa,75,US,1551823099,47,22.08,22.08,77.0,20.8
7,Ossora,48,RU,1551823429,82,59.24,59.24,5.43,3.83
8,Saint-Philippe,90,CA,1551823420,78,45.36,45.36,19.4,5.82
9,Piacabucu,76,BR,1551823432,81,-10.41,-10.41,80.26,8.52
10,Qaanaaq,32,GL,1551823434,80,77.48,77.48,-9.02,6.17
11,Makurdi,32,NG,1551823441,61,7.73,7.73,85.53,11.21
12,Hobart,20,AU,1551823275,71,-42.88,-42.88,55.99,2.24
13,San Patricio,48,PY,1551823448,75,-26.98,-26.98,80.67,5.17
14,Rikitea,68,PF,1551823449,100,-23.12,-23.12,79.68,15.23
15,Guerrero Negro,76,MX,1551823451,59,27.97,27.97,71.98,5.73
16,Spring Hill,90,US,1551823244,76,28.46,28.46,57.99,12.75
17,Ribeira Grande,75,PT,1551819600,62,38.52,38.52,55.4,6.93
18,Hermanus,0,ZA,1551823271,80,-34.42,-34.42,69.01,5.99
19,Kaitangata,8,NZ,1551823464,76,-46.28,-46.28,68.47,1.36
20,Esperance,20,TT,1551823286,65,10.24,10.24,82.4,12.75
21,Port Macquarie,12,AU,1551823205,93,-31.43,-31.43,75.99,8.75
22,Gao,0,ML,1551823484,26,16.28,16.28,67.21,7.29
23,Hilo,90,US,1551823471,77,19.71,19.71,70.0,12.75
24,Albany,90,US,1551823482,41,42.65,42.65,30.0,5.82
25,Taiyuan,0,CN,1551819600,39,37.86,37.86,28.4,2.24
26,Waipawa,0,NZ,1551823157,58,-39.94,-39.94,73.0,4.16
27,Chitral,0,PK,1551823492,67,35.85,35.85,-1.91,1.36
28,Kazachinskoye,44,RU,1551823495,75,57.69,57.69,20.73,8.19
29,Kaputa,68,ZM,1551823496,98,-8.47,-8.47,63.03,2.15
30,Pangai,40,TO,1551819600,74,-19.8,-19.8,82.4,16.11
31,Provideniya,0,RU,1551821400,68,64.42,64.42,26.6,6.71
32,Ushuaia,75,AR,1551819600,75,-54.81,-54.81,46.4,28.86
33,Tuktoyaktuk,20,CA,1551819600,78,69.44,69.44,8.6,6.93
34,Antalaha,64,MG,1551823514,95,-14.9,-14.9,77.47,3.49
35,Margate,20,AU,1551823515,71,-43.03,-43.03,55.99,2.24
36,Mahebourg,20,MU,1551823445,78,-20.41,-20.41,80.6,8.05
37,Vaini,0,IN,1551823538,86,15.34,15.34,57.58,2.59
38,Kingman,1,US,1551823294,25,35.19,35.19,75.99,13.87
39,Tasiilaq,8,GL,1551819000,56,65.61,65.61,15.8,26.4
40,Tiarei,75,PF,1551823389,66,-17.53,-17.53,87.8,8.05
41,Barrow,8,AR,1551823548,21,-38.31,-38.31,80.71,12.44
42,Port Alfred,8,ZA,1551823525,92,-33.59,-33.59,69.01,7.0
43,College,75,US,1551823419,67,64.86,64.86,28.99,4.7
44,Bredasdorp,0,ZA,1551823271,82,-34.53,-34.53,69.01,2.24
45,Sao Filipe,0,CV,1551823560,95,14.9,14.9,70.9,18.03
46,Butaritari,92,KI,1551823562,100,3.07,3.07,76.12,9.53
47,Bethel,90,US,1551822960,100,60.79,60.79,35.6,11.41
48,Auki,0,NG,1551823570,29,12.18,12.18,73.92,7.52
49,Champerico,20,MX,1551822120,61,16.38,16.38,77.0,25.28
50,Avera,1,US,1551823571,23,33.19,33.19,53.6,12.75
51,Lavrentiya,92,RU,1551823575,97,65.58,65.58,28.47,14.45
52,Punta Arenas,40,CL,1551823393,45,-53.16,-53.16,48.2,12.75
53,Gazanjyk,0,TM,1551823578,85,39.24,39.24,36.79,2.71
54,Mar del Plata,32,AR,1551823345,43,-46.43,-46.43,66.27,26.64
55,Saint-Francois,0,FR,1551821400,55,46.42,46.42,39.2,7.74
56,Miri,0,NG,1551823584,42,10.31,10.31,71.89,5.28
57,Pevek,88,RU,1551823589,84,69.7,69.7,4.98,2.59
58,Mahendranagar,0,IN,1551823591,79,28.02,28.02,45.61,2.37
59,Doha,0,QA,1551819600,51,25.29,25.29,62.6,5.82
60,Tiksi,64,RU,1551823603,59,71.64,71.64,1.33,10.2
61,Aleksandrov Gay,32,RU,1551823605,88,50.14,50.14,35.85,16.02
62,Broken Hill,90,AU,1551819600,77,-31.97,-31.97,60.8,21.92
63,Faanui,80,PF,1551823610,99,-16.48,-16.48,84.22,6.17
64,Puerto Ayora,20,EC,1551823200,66,-0.74,-0.74,84.2,10.29
65,Narsaq,68,GL,1551819000,50,60.91,60.91,28.4,5.82
66,Svetlogorsk,75,RU,1551821400,85,53.14,53.14,19.4,8.95
67,Padang,40,ID,1551819600,94,-0.92,-0.92,71.6,3.36
68,Lompoc,90,US,1551823332,93,34.64,34.64,57.99,10.29
69,Port Elizabeth,20,US,1551823613,37,39.31,39.31,37.99,5.82
70,Nizhnevartovsk,76,RU,1551821400,84,60.93,60.93,3.2,8.95
71,Port Hawkesbury,75,CA,1551823562,62,45.62,45.62,26.01,9.17
72,Ilulissat,20,GL,1551819000,47,69.22,69.22,15.8,11.41
73,Dalmatovo,20,RU,1551823658,49,56.26,56.26,1.51,5.73
74,Nikolskoye,75,RU,1551823534,85,59.7,59.7,17.01,13.42
75,Vardo,1,US,1551823490,37,39.62,39.62,39.99,14.99
76,Oni,56,GE,1551823663,66,42.59,42.59,22.21,2.15
77,Murgab,75,TM,1551823200,81,37.5,37.5,46.4,7.96
78,Camacupa,48,AO,1551823667,71,-12.02,-12.02,68.65,3.83
79,That Phanom,0,TH,1551823670,88,16.94,16.94,72.3,2.82
80,Corn Island,68,NI,1551823676,98,12.17,12.17,80.89,15.46
81,Sao Jose da Coroa Grande,80,BR,1551823677,82,-8.9,-8.9,81.03,8.08
82,Katsuura,75,JP,1551822883,70,33.93,33.93,46.99,6.93
83,New Norfolk,20,AU,1551823455,71,-42.78,-42.78,55.99,2.24
84,Santa Rosa,0,AR,1551823696,33,-36.62,-36.62,79.0,9.75
85,Ikwiriri,0,TZ,1551823699,93,-7.96,-7.96,77.92,3.94
86,Georgetown,20,GY,1551823200,74,6.8,6.8,80.6,4.7
87,Jamestown,0,AU,1551823450,89,-33.21,-33.21,50.29,10.98
88,Gornopravdinsk,64,RU,1551823714,71,60.06,60.06,12.94,5.39
89,Filingue,0,NE,1551823716,29,14.35,14.35,75.58,7.18
90,Santo Antonio do Sudoeste,44,BR,1551823719,88,-26.07,-26.07,75.85,0.92
91,Strezhevoy,48,RU,1551821400,84,60.73,60.73,3.2,8.95
92,Evensk,68,RU,1551823726,100,61.92,61.92,5.11,7.07
93,Dikson,64,RU,1551823729,100,73.51,73.51,10.96,14.67
94,Vestmannaeyjar,0,IS,1551823733,100,63.44,63.44,28.78,7.63
95,Saint Anthony,75,US,1551823532,73,43.97,43.97,36.0,3.36
96,Deder,32,ET,1551823743,82,9.31,9.31,63.88,1.36
